title,artist,number_of_singers,year,popularity,duration_ms,image_url
The Night The Lights Went Out In Georgia,Reba McEntire,1,1991,68,257266,https://i.scdn.co/image/ab67616d0000b27370c821f8a5ce4b1411bbc801
What Makes You Beautiful,One Direction,1,2012,87,199986,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e
Livin' la Vida Loca,Ricky Martin,1,1999,78,243160,https://i.scdn.co/image/ab67616d0000b273e7e9b85cc1f021ec12130d80
Sweet Caroline,Neil Diamond,1,1969,81,203573,https://i.scdn.co/image/ab67616d0000b2734d1a7a3e5043173883653ffc
Waterloo,ABBA,1,1974,74,168960,https://i.scdn.co/image/ab67616d0000b27311c24dc7f5ef909381c0a7d6
Firework,Katy Perry,1,2012,77,227880,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616
It's All Coming Back to Me Now,Céline Dion,1,1996,81,456866,https://i.scdn.co/image/ab67616d0000b273c6aebd89b2dcda3348649633
Don't Stop Believin',Journey,1,2001,76,248906,https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8
Mr. Brightside,The Killers,1,2004,87,222973,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
I Gotta Feeling,Black Eyed Peas,1,2009,76,289133,https://i.scdn.co/image/ab67616d0000b273382514f0114ba8f4a16d5db4
I Will Survive - Extended Version,Gloria Gaynor,1,1978,71,481813,https://i.scdn.co/image/ab67616d0000b273bce36707076282a49639d8b5
Livin' On A Prayer,Bon Jovi,1,1986,87,249293,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac
I'm a Believer - 2006 Remaster,The Monkees,1,1967,77,167373,https://i.scdn.co/image/ab67616d0000b273360a1ae790aa71a0aac4983e
Summer Of '69,Bryan Adams,1,1984,85,216053,https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,77,354320,https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a
Summer Nights - From “Grease”,"John Travolta, Olivia Newton-John",2,2022,53,214920,https://i.scdn.co/image/ab67616d0000b273dcd6a10be0b22333c788f3fc
